day,hour,n,median_logv,approx_median_views
Monday,5.0,27.0,14.59273460571523,2175424
Wednesday,4.0,22.0,14.330626528012832,1673832
Tuesday,5.0,20.0,13.909041624112096,1098044
Saturday,15.0,283.0,13.828267836739673,1012838
Saturday,16.0,520.0,13.517198050781218,742068
Sunday,15.0,294.0,13.49779167118447,727806
Thursday,15.0,227.0,13.438207160114125,685707
Saturday,17.0,44.0,13.416582256651667,671038
Wednesday,1.0,39.0,13.406675778886443,664423
Monday,23.0,39.0,13.405148479243403,663409
Tuesday,15.0,276.0,13.399299084922362,659540
Tuesday,0.0,54.0,13.379169631479177,646396
Saturday,23.0,40.0,13.339051552979662,620977
Saturday,1.0,23.0,13.317798573343666,607919
Thursday,21.0,62.0,13.314293805402826,605792
